dx,dy,dz
-0.136459,-0.756745,-0.639308
0.291924,-0.414025,-0.862186
0.814530,-0.330412,-0.476833
-0.388318,0.873081,-0.294854
0.204710,-0.281260,-0.937543
-0.735232,0.324336,-0.595181
-0.375563,-0.504756,-0.777286
0.236829,0.082882,-0.968010
-0.151328,-0.828439,-0.539248
-0.483844,0.038385,-0.874312
-0.117357,-0.079018,-0.989941
-0.164549,0.140203,-0.976354
0.384091,-0.489436,-0.782896
-0.054357,0.809638,-0.584408
-0.705803,0.532647,-0.467043
0.223502,0.157214,-0.961941
0.079104,0.015660,-0.996743
-0.222290,-0.103276,-0.969495
-0.010594,-0.289221,-0.957204
0.366443,0.836878,-0.406639
-0.710893,-0.274489,-0.647524
0.609024,0.712457,-0.348561
0.277938,0.024097,-0.960297
0.050417,-0.741323,-0.669252
0.679511,0.115646,-0.724493
-0.235009,-0.221185,-0.946493
0.436360,0.461285,-0.772532
-0.403495,-0.100613,-0.909433
0.281286,-0.729908,-0.622986
0.333060,-0.729437,-0.597489
-0.502549,-0.478076,-0.720339
0.406785,0.667245,-0.623948
-0.109912,0.235348,-0.965676
-0.351239,-0.217141,-0.910758
0.003257,-0.273305,-0.961922
-0.823634,0.348528,-0.447386
0.825147,-0.437642,-0.357213
-0.329868,-0.164766,-0.929537
-0.757863,0.490190,-0.430532
-0.013437,-0.884368,-0.466597
-0.582107,0.011901,-0.813025
-0.110489,0.156676,-0.981450
-0.386572,0.857875,-0.338544
-0.755799,-0.268340,-0.597296
-0.285967,0.109525,-0.951960
-0.023015,-0.293140,-0.955793
0.733738,-0.113803,-0.669834
-0.267871,-0.348782,-0.898107
0.345035,0.485784,-0.803097
0.336700,0.896504,-0.287947
0.515032,-0.637569,-0.572930
0.803078,0.145035,-0.577954
-0.085612,0.823615,-0.560650
0.273983,0.247766,-0.929271
0.841645,0.047782,-0.537913
0.834811,-0.220805,-0.504318
0.641447,0.308482,-0.702413
0.075914,-0.356982,-0.931021
0.151770,-0.210294,-0.965786
0.826021,0.492387,-0.274308
-0.483175,0.367527,-0.794648
0.149274,0.016610,-0.988656
-0.497709,-0.797919,-0.340014
0.252351,-0.090522,-0.963392
-0.068256,0.037617,-0.996958
-0.233197,-0.261557,-0.936593
0.020896,0.290392,-0.956680
-0.660029,-0.145218,-0.737071
0.021979,-0.302677,-0.952840
0.119886,0.092387,-0.988480
0.366860,-0.006609,-0.930253
0.663502,0.017211,-0.747976
0.386485,0.280717,-0.878537
0.131057,0.910416,-0.392387
0.003538,-0.022579,-0.999739
-0.559302,-0.479837,-0.675972
-0.023141,-0.376629,-0.926075
-0.129932,0.222312,-0.966279
-0.683686,0.309553,-0.660871
0.247272,-0.398831,-0.883057
-0.072360,0.150064,-0.986025
0.318172,-0.418533,-0.850645
0.092605,0.805635,-0.585129
-0.064597,-0.344549,-0.936543
0.494037,0.811275,-0.312666
0.101734,0.010609,-0.994755
0.048097,-0.023763,-0.998560
-0.006932,-0.009414,-0.999932
0.502616,-0.717254,-0.482621
-0.025559,-0.356220,-0.934052
0.783447,0.023925,-0.620998
0.451284,-0.658696,-0.602048
-0.067507,0.030135,-0.997264
0.660173,0.549441,-0.512139
0.565584,0.680432,-0.465969
0.781307,-0.122246,-0.612059
0.191177,-0.818843,-0.541246
-0.050513,-0.019440,-0.998534
-0.005246,-0.594680,-0.803945
-0.134226,0.694640,-0.706724
0.131962,-0.064041,-0.989184
-0.510984,0.789404,-0.340201
0.122674,-0.615766,-0.778321
-0.764828,-0.282959,-0.578768
0.091491,-0.186099,-0.978262
0.594615,0.747196,-0.296870
0.379034,-0.474128,-0.794692
-0.623263,0.482155,-0.615687
0.671731,0.613894,-0.414623
-0.686377,0.316612,-0.654709
0.261554,-0.258126,-0.930032
-0.093600,0.352215,-0.931227
-0.061083,-0.161037,-0.985056
-0.233452,0.164061,-0.958428
-0.022374,-0.037542,-0.999045
-0.424191,0.519382,-0.741825
-0.529183,0.064520,-0.846051
0.176967,0.572649,-0.800472
0.407122,0.371690,-0.834325
0.874556,0.423825,-0.235638
-0.100515,0.093525,-0.990530
0.343993,-0.554909,-0.757460
-0.141193,0.284350,-0.948266
-0.671200,-0.203057,-0.712922
-0.095702,-0.317315,-0.943479
-0.666885,-0.625843,-0.404456
0.531576,0.239763,-0.812367
0.714937,-0.589605,-0.375808
-0.341562,-0.897260,-0.279749
0.017600,0.026166,-0.999503
-0.627005,0.066924,-0.776135
-0.765966,0.174776,-0.618667
0.331382,0.785727,-0.522320
0.101756,0.837308,-0.537179
0.419465,0.200369,-0.885382
-0.093180,0.131171,-0.986971
-0.262072,0.240010,-0.934727
0.076632,0.143827,-0.986631
0.071554,0.159638,-0.984579
0.259170,-0.169038,-0.950924
-0.432596,-0.841392,-0.323913
-0.479262,0.822413,-0.306504
-0.017520,0.289858,-0.956909
0.341383,-0.896158,-0.283476
-0.049505,-0.651575,-0.756968
0.665677,-0.411076,-0.622808
-0.019717,-0.086748,-0.996035
0.321619,-0.135734,-0.937090
0.276992,0.146536,-0.949633
0.272492,-0.307266,-0.911776
0.694772,-0.687073,-0.212656
0.917602,-0.032878,-0.396139
-0.003361,0.272161,-0.962246
-0.031026,-0.118428,-0.992478
-0.193215,0.191572,-0.962273
0.001736,-0.633734,-0.773549
-0.628974,0.718233,-0.297546
0.232317,0.564674,-0.791942
-0.032058,0.019420,-0.999297
-0.137720,-0.102422,-0.985161
0.461552,0.342207,-0.818452
-0.190696,0.031929,-0.981130
-0.542502,-0.814273,-0.206520
0.516187,-0.011875,-0.856393
0.491920,-0.524298,-0.695073
0.188553,0.922635,-0.336441
0.346352,-0.304467,-0.887322
-0.328502,0.759836,-0.561013
-0.002835,-0.003270,-0.999991
0.134154,-0.228853,-0.964173
0.451299,-0.333131,-0.827860
0.110791,-0.781266,-0.614287
-0.370259,0.166000,-0.913976
-0.004506,-0.261688,-0.965142
-0.050706,0.009093,-0.998672
-0.102925,-0.298256,-0.948920
0.812959,0.339791,-0.472906
0.105601,-0.107626,-0.988567
0.367044,0.001575,-0.930202
0.641850,-0.345692,-0.684490
0.113542,-0.204815,-0.972193
-0.418857,-0.055612,-0.906348
-0.661147,-0.697515,-0.276328
-0.829949,0.047617,-0.555803
0.089163,0.420441,-0.902928
0.293424,-0.309904,-0.904357
-0.659825,0.171165,-0.731664
0.329495,0.601497,-0.727760
-0.415984,0.779182,-0.468863
-0.651732,0.487441,-0.581074
0.654900,-0.227624,-0.720620
0.737619,-0.614974,-0.278792
0.020668,-0.247200,-0.968744
0.003945,0.001504,-0.999991
0.471924,0.003265,-0.881633
0.214362,0.877520,-0.428961
-0.298108,0.249930,-0.921231
0.351840,-0.204809,-0.913379
0.638935,0.625570,-0.447688
0.209499,0.645644,-0.734339
-0.368288,0.188967,-0.910305
0.286781,0.855404,-0.431325
0.685163,0.341692,-0.643272
0.460173,-0.321588,-0.827540
-0.548092,0.059534,-0.834297
0.153399,0.835895,-0.527018
-0.008449,-0.102615,-0.994685
-0.038997,-0.012573,-0.999160
-0.161955,0.486178,-0.858721
-0.029716,-0.003765,-0.999551
0.444872,0.295629,-0.845395
-0.275354,0.183366,-0.943693
0.156279,-0.908162,-0.388353
0.099027,-0.891383,-0.442300
0.241910,0.739596,-0.628075
0.953499,0.235354,-0.188274
-0.572854,-0.703123,-0.421256
0.882386,0.132166,-0.451582
0.935010,-0.113772,-0.335876
-0.115189,0.121070,-0.985938
-0.471465,0.187065,-0.861817
0.139280,0.155535,-0.977962
-0.206643,-0.139997,-0.968349
-0.613185,-0.061786,-0.787519
0.196310,-0.550535,-0.811402
-0.829408,-0.269041,-0.489591
0.490146,0.301957,-0.817667
0.745872,0.585611,-0.317386
0.884218,0.402175,-0.237514
0.549183,0.687519,-0.475096
0.547132,-0.775473,-0.315101
0.800130,-0.101681,-0.591145
0.611738,-0.593214,-0.523330
0.797865,0.047075,-0.600995
0.773836,-0.332485,-0.539102
-0.729272,0.134800,-0.670814
0.483246,0.051844,-0.873948
-0.128370,0.425123,-0.895987
0.217929,0.126491,-0.967733
-0.083326,-0.661012,-0.745734
-0.372886,0.421061,-0.826840
-0.130772,0.789163,-0.600100
-0.732151,-0.265376,-0.627320
-0.615942,0.583743,-0.529017
-0.161419,0.247083,-0.955455
0.414436,-0.418668,-0.808059
0.286558,-0.260757,-0.921895
0.671051,-0.392251,-0.629150
-0.017520,0.021389,-0.999618
-0.165624,0.254667,-0.952740
-0.696873,-0.588114,-0.410475
-0.977524,0.135346,-0.161644
0.225638,0.476285,-0.849847
-0.003040,0.015609,-0.999874
0.066450,-0.069266,-0.995383
0.134169,0.488839,-0.861995
0.324938,0.667780,-0.669690
-0.417404,-0.725229,-0.547555
-0.063173,0.087834,-0.994130
0.332710,0.814453,-0.475363
0.680101,-0.057467,-0.730862
-0.714077,0.389909,-0.581433
0.571347,0.299906,-0.763950
-0.017686,-0.489357,-0.871904
0.791504,-0.371563,-0.485245
-0.854914,0.419100,-0.305740
-0.467598,0.281164,-0.838033
-0.317799,-0.072503,-0.945382
0.051157,0.336410,-0.940325
-0.281724,0.910589,-0.302424
0.777487,0.192249,-0.598794
0.723738,0.416973,-0.549851
0.163825,-0.927283,-0.336613
0.451107,-0.785838,-0.423037
0.685310,-0.316693,-0.655787
-0.042629,-0.354878,-0.933940
0.002773,0.029867,-0.999550
0.144397,-0.028908,-0.989098
-0.068764,-0.485687,-0.871424
0.243942,0.861034,-0.446221
-0.111442,0.941728,-0.317379
-0.546134,0.576721,-0.607561
-0.187599,0.561021,-0.806264
0.531412,0.745107,-0.403009
0.031522,0.003548,-0.999497
-0.495070,-0.024273,-0.868514
-0.079069,-0.303788,-0.949453
-0.342231,-0.703732,-0.622607
-0.326548,-0.160837,-0.931396
0.173895,-0.812261,-0.556769
-0.025939,0.784473,-0.619621
-0.129514,0.190488,-0.973109
-0.641081,-0.277455,-0.715565
0.644164,0.598486,-0.476306
0.103737,-0.554707,-0.825554
-0.096377,0.104303,-0.989865
0.558038,0.059624,-0.827671
-0.706198,0.630838,-0.321446
0.006020,0.922732,-0.385394
0.401247,-0.005500,-0.915953
0.289414,-0.197872,-0.936529
0.167320,0.324985,-0.930800
-0.144714,0.679397,-0.719359
-0.062769,-0.025179,-0.997710
-0.243090,-0.034360,-0.969395
0.603690,0.135329,-0.785649
-0.080975,0.725896,-0.683021
0.200047,0.067455,-0.977461
-0.079496,-0.455534,-0.886662
-0.318839,0.498531,-0.806107
-0.047145,-0.486345,-0.872494
0.640402,0.402675,-0.654016
-0.274524,0.047209,-0.960421
0.172954,0.764980,-0.620397
-0.878256,-0.368220,-0.305092
0.631774,0.190859,-0.751289
-0.341229,0.549188,-0.762860
0.545004,-0.451037,-0.706779
0.287897,0.019902,-0.957455
-0.014566,-0.022986,-0.999630
-0.930585,0.165573,-0.326492
0.228038,-0.042892,-0.972707
-0.632412,-0.636994,-0.440787
0.037129,0.920432,-0.389134
-0.490450,0.649945,-0.580542
0.980361,0.035495,-0.193990
0.420502,0.478262,-0.771002
-0.194443,-0.085672,-0.977165
0.311674,-0.781460,-0.540537
-0.028510,0.912691,-0.407655
-0.087314,-0.352242,-0.931827
-0.152698,-0.470787,-0.868932
-0.909774,0.265811,-0.318835
0.634056,-0.362255,-0.683187
0.601652,0.450733,-0.659435
0.396884,0.091397,-0.913307
-0.169872,0.434627,-0.884445
0.182883,-0.065339,-0.980961
0.058107,-0.070864,-0.995792
0.117898,0.670377,-0.732595
-0.579436,-0.672485,-0.460454
-0.465760,0.572294,-0.674942
-0.140491,-0.527454,-0.837887
-0.741080,-0.208319,-0.638282
-0.054933,0.105531,-0.992898
-0.056588,0.093708,-0.993990
-0.787715,-0.473970,-0.393518
0.004863,-0.001789,-0.999987
0.610399,0.655217,-0.445089
0.049820,0.177629,-0.982836
0.902767,0.068726,-0.424604
-0.940210,0.248209,-0.233231
-0.085245,0.099712,-0.991358
-0.129980,0.136315,-0.982102
-0.294786,0.415627,-0.860439
0.200966,-0.178994,-0.963106
0.629238,0.377001,-0.679655
0.741904,-0.381028,-0.551722
-0.128151,-0.763478,-0.632992
0.102302,-0.423763,-0.899977
-0.019498,0.170182,-0.985220
0.861246,0.113227,-0.495413
-0.059196,0.032905,-0.997704
0.551950,0.101991,-0.827616
0.936898,-0.062659,-0.343941
-0.469578,0.476155,-0.743487
-0.125782,-0.415037,-0.901068
-0.001346,-0.005223,-0.999985
0.325825,-0.202015,-0.923595
-0.199855,-0.832114,-0.517343
-0.152493,-0.310450,-0.938279
-0.066722,-0.476160,-0.876824
0.219705,-0.804918,-0.551214
-0.029129,-0.373000,-0.927374
0.880567,0.457210,-0.124741
0.901475,0.225207,-0.369628
-0.041989,0.453204,-0.890418
0.058632,0.214761,-0.974905
-0.131643,0.830888,-0.540643
-0.834476,0.228569,-0.501404
-0.189765,0.146830,-0.970788
0.010717,-0.023483,-0.999667
-0.562270,-0.010653,-0.826885
0.157922,0.025377,-0.987125
-0.156414,0.042448,-0.986779
-0.565130,0.156331,-0.810055
-0.107728,-0.787689,-0.606581
-0.058740,-0.022418,-0.998022
-0.167392,-0.170078,-0.971109
0.037254,-0.358192,-0.932904
-0.261142,0.181620,-0.948061
-0.415057,-0.444688,-0.793713
-0.516564,0.757364,-0.399451
-0.385039,0.753357,-0.533102
-0.876631,0.060772,-0.477311
-0.437691,-0.658547,-0.612162
-0.001233,-0.000743,-0.999999
-0.005786,-0.065218,-0.997854
-0.334258,0.532516,-0.777624
-0.110341,-0.248594,-0.962302
-0.031538,-0.416837,-0.908434
0.073863,-0.030313,-0.996808
-0.004390,0.017749,-0.999833
-0.245769,0.396960,-0.884319
-0.092704,-0.962346,-0.255530
-0.838057,0.452718,-0.304477
-0.165090,-0.002877,-0.986274
-0.058454,0.057822,-0.996614
0.899894,0.351605,-0.258001
-0.168429,0.322959,-0.931305
0.202516,0.079098,-0.976079
0.657737,0.490623,-0.571551
-0.722585,-0.674665,-0.150659
-0.511588,0.235597,-0.826300
-0.001330,0.003374,-0.999993
-0.083117,0.607567,-0.789907
-0.694241,0.510029,-0.507839
-0.475189,-0.374121,-0.796385
-0.004217,0.008567,-0.999954
0.203907,0.163542,-0.965233
-0.229692,-0.325410,-0.917251
-0.289236,-0.222374,-0.931070
-0.734990,0.551681,-0.394256
-0.302342,0.851477,-0.428458
-0.122322,-0.216931,-0.968493
-0.731117,-0.441161,-0.520427
-0.166930,0.927017,-0.335817
-0.000687,-0.002604,-0.999996
-0.182470,-0.431614,-0.883411
-0.558472,0.517178,-0.648565
0.653116,-0.615706,-0.440848
-0.006451,0.000095,-0.999979
-0.330232,0.103224,-0.938239
0.673036,-0.188589,-0.715162
0.450973,-0.547721,-0.704717
0.730268,0.627115,-0.270992
0.353015,0.050889,-0.934233
0.738660,-0.409485,-0.535448
-0.883197,0.431802,-0.183060
0.521993,-0.140649,-0.841274
0.739282,-0.423721,-0.523375
0.295822,-0.413164,-0.861269
0.159648,-0.708846,-0.687059
0.379594,-0.517572,-0.766829
0.552668,0.386396,-0.738415
-0.119131,0.182583,-0.975946
0.609785,-0.585598,-0.534076
-0.765119,-0.424083,-0.484506
-0.266892,-0.075457,-0.960768
0.402560,0.624034,-0.669722
0.272787,-0.159116,-0.948825
-0.483005,-0.422630,-0.766870
0.155142,0.210656,-0.965171
0.935374,0.195927,-0.294429
-0.948934,0.115504,-0.293569
-0.331036,0.506707,-0.796030
0.008194,-0.058708,-0.998242
-0.144386,-0.080284,-0.986259
0.014854,-0.090057,-0.995826
0.260140,0.107011,-0.959623
0.357909,0.897141,-0.258918
0.053309,-0.147680,-0.987598
-0.005908,-0.028201,-0.999585
0.933546,-0.255361,-0.251560
-0.433804,0.499915,-0.749599
0.846814,0.099477,-0.522504
-0.359702,0.724845,-0.587549
0.517583,-0.634571,-0.573958
-0.655591,0.647412,-0.388662
0.738090,-0.198600,-0.644811
0.898562,-0.085389,-0.430459
-0.794997,-0.414714,-0.442709
-0.870325,0.262076,-0.416955
-0.006320,-0.483626,-0.875252
-0.513424,-0.784677,-0.347386
-0.829919,-0.235962,-0.505526
0.223541,0.749769,-0.622796
-0.864444,0.135869,-0.484020
-0.463261,0.137552,-0.875482
0.042293,-0.857362,-0.512974
0.547704,0.336537,-0.766005
-0.098343,-0.283674,-0.953865
-0.045530,-0.670158,-0.740820
0.371511,0.912756,-0.169870
0.719111,0.380871,-0.581220
-0.598015,-0.497669,-0.628255
-0.846793,-0.175158,-0.502256
0.001308,0.002231,-0.999997
-0.832665,0.139043,-0.536037
-0.620688,0.534527,-0.573609
-0.374212,0.276212,-0.885253
-0.112953,0.094634,-0.989083
-0.051651,-0.693641,-0.718466
-0.057231,-0.030585,-0.997892
0.290940,0.626234,-0.723316
0.045752,-0.250481,-0.967040
-0.263125,0.265210,-0.927593
-0.319935,-0.119788,-0.939836
0.090579,-0.433788,-0.896451
0.507105,0.449682,-0.735276
0.568621,-0.700821,-0.430721
-0.719024,0.084261,-0.689858
0.644435,0.714373,-0.272718
-0.144095,-0.027048,-0.989194
-0.281516,0.930798,-0.233161
-0.093221,-0.146697,-0.984779
-0.041020,0.002356,-0.999156
0.011231,-0.063129,-0.997942
-0.623069,-0.680502,-0.385620
-0.144009,-0.024842,-0.989265
0.622110,0.258003,-0.739198
-0.595030,-0.109089,-0.796266
0.081707,0.869273,-0.487533
-0.394687,-0.067385,-0.916341
0.673645,0.677234,-0.295901
-0.664605,-0.197121,-0.720725
0.681287,0.484944,-0.548341
0.366791,0.517285,-0.773227
0.058887,0.110259,-0.992157
0.162779,-0.741047,-0.651424
-0.092654,-0.216320,-0.971916
0.454866,0.037548,-0.889768
-0.497645,0.095349,-0.862124
-0.769352,-0.207473,-0.604196
-0.879426,0.087853,-0.467858
0.359871,0.913526,-0.189640
0.226639,-0.052985,-0.972537
0.881688,0.055066,-0.468608
0.675029,-0.538079,-0.504784
-0.050110,0.509662,-0.858915
0.443430,-0.816616,-0.369470
0.438080,-0.301097,-0.847010
-0.654733,-0.204640,-0.727632
-0.690784,-0.611827,-0.385337
-0.522665,0.083002,-0.848488
0.030134,0.042259,-0.998652
-0.010107,0.018545,-0.999777
-0.322805,0.032702,-0.945900
-0.153928,0.301237,-0.941043
0.439574,0.294547,-0.848538
0.490102,0.715069,-0.498474
0.018953,0.992305,-0.122355
0.440182,-0.526252,-0.727529
0.305428,-0.881309,-0.360566
0.089759,-0.363341,-0.927322
-0.054880,-0.320938,-0.945509
-0.022236,-0.010340,-0.999699
-0.005872,-0.086265,-0.996255
0.003475,0.829159,-0.559002
0.143588,-0.237944,-0.960607
0.056749,0.263254,-0.963056
0.452304,-0.091000,-0.887209
-0.860318,0.090197,-0.501715
0.372228,-0.732160,-0.570428
0.791049,0.420575,-0.444249
-0.104956,0.272336,-0.956461
-0.231779,-0.382120,-0.894574
-0.140578,-0.178330,-0.973877
0.387106,0.187679,-0.902732
-0.154160,-0.099533,-0.983020
0.062859,-0.291261,-0.954576
0.311355,-0.536613,-0.784286
